id,twitter_altmetric_id,posts:summary,sentiments
7884268,2544932,report toward control electron transfer donor acceptor molecul bond specific infrar excitation,neutral
7884271,2544932,schizo psychiatric diagnos risk suicidal behaviour young disability pensioner prospective cohortâ€¦,neutral
7884272,2544932,scp an automat tool semantic access formal software model,neutral
7884273,2544932,fauna ghost fish activity derelict blue crab trap louisiana marinelitter marinedebri,neutral
7884274,2544932,“ our paper visualiz link data linkeddata dataviz,positive
7884275,2544932,finally someone provid empirical test mutualism theory  factor intelligence it fail,negative
7884277,2544932,100 hr still expert deliberate practice  tak become expert ˜† €” sciencedirect,neutral
7884279,2544932,100 hour deliberate practice account variance elite music ches performance,positive
7884280,2544932,12 month wt los maintenance data diogen trial protein glycemicindex,positive
7884285,2544932,16 week study obese patient high fibre 41 kg low carb 52 kg p02 health diet,positive
7884286,2544932,200mg phosphatidylserine day x2 month children  14 year deficit attention hyperactivity improv symptomatology,neutral
7884287,2544932,24 hour glucose profil diet vary protein content glycemic index,neutral
7884288,2544932,gramsday obg soluble fiber oat lower totalcholesterol amp ldl effect triglycerid hdl,positive
7884289,2544932,year  start work it  happy see survey cnl officially publish,positive
7884290,2544932,62 million macro marinelitter item float surface mediterranean say new study,positive
7884296,2544932,82 plastic plastic float taymar estuary microplastic les 5mm dia,positive
7884297,2544932,framework unify ontology bas semantic similarity measur study biomedical domain,neutral
7884298,2544932,good article interest natural alternativ treat adhd,positive
7884299,2544932,great academic acronym kind nsfw since bit sweary kudo author gett publish,negative
7884300,2544932,gwa mathematical ability noth significant,negative
7884306,2544932,high dietary glycemic index increas total mortality mediterranean population high cardiovascular risk,neutral
7884308,2544932,high fibre bean rich diet greater metabolic benefit low carbohydrate diet,positive
7884309,2544932,high fibre bean rich diet versu low carbohydrate diet weight los dsma diabet,positive
7884310,2544932,high fibre bean rich diet effective weight los low carb diet benefit low,positive
7884311,2544932,high protein ad lib diet improv weight los maintenance overweight amp obese adult 12 month,positive
7884323,2544932,highfibre bean rich diet versu lowcarbohydrate diet obesity nutrition health lowcarb via,neutral
7884325,2544932,highfibre beanrich diet versu lowcarbohydrate diet obesity,neutral
7884326,2544932,high fibre bean rich diet versu low carbohydrate diet obesity trend fã¶ bã¤ttre viktnedgã¥ng  lã¥gkolhydrat,neutral
7884327,2544932,high fibre bean rich diet versu low carbohydrate diet obesity,neutral
7884332,2544932,large european study look relationship social welfare cognitive ability gender,positive
7884334,2544932,longitudinal cohort study intelligence later hospitalisation mentaldisorder mhchat psychiatry,neutral
7884335,2544932,longitudinal cohort study intelligence later hospitalisation mental disorder mhchat primarycare mh,neutral
7884337,2544932,nice study look low carb high fat diet body composition exercise performance,positive
7884339,2544932,publish paper copper nanotub carefully chosen acronym copper cu nanotub nt,negative
7884340,2544932,quantum chemical study molecular perspective ionization electron attachment energi sp,neutral
7884341,2544932,revisit classic study equal environment assumption twin research,positive
7884342,2544932,rule bas ontological framework classification molecul,neutral
7884343,2544932,rule bas ontological framework classification molecul journalofbiomedicalsemantic,neutral
7989135,2571369,sea standard omic data sink swim so many standard choose,neutral
7989136,2571369,sea standard omic data sink swim hitsm hcldr genomic bigdata,neutral
7989137,2571369,sea standard omic data sink swim oa jamia genomic bioinformatic,neutral
7989141,2571369,sea standard omic data sink swim,neutral
7989143,2571369,sea standard omic data sink swim tenenbaum sansone haendel jamia,neutral
7989145,2571369,sea standard sink swim ne better resourc navigat standard landscape tbicri15,neutral
7989147,2571369,single molecule device mobile phon,neutral
7989148,2571369,survey approach rank web data,neutral
7989149,2571369,° € ¬çš çÿ ¥ èã ¯ ¥ ³ã ® ããšãç ·  ®  ® ¹ã œè ‰ ¯    €  · ® ¯ °  •   € « ¡ ÿãƒ » ¤§åç ÿã € ãƒ¡¿ † æž ï¼  °  ÿã ªèª¿æÿ»  € sex differenc general knowledge meta analysi new sex  €,neutral
7989150,2571369,toxic dangerou plant protein at least reduce blood pressure seem better animal,neutral
7989152,2571369,why inbreed harmful,neutral
7989153,2571369,£  ± ãšå ƒãƒ ¿ «    ÿã ‰  ªã  ¨ãƒâ € ãƒ¡ § ™  rt  ¢  ™ ½ã  †  ªã ® § ƒè «  ‡  èªã    ãã ‰  € ¨äº  œå¤§  •   §  ÿã € tcoexygsytqggã€€rt,neutral
7989155,2571369,ã¹ã¯ãƒ © ãƒ³ãƒ ãƒ «ã²ãƒ¼ãƒ ãƒ» ¯ãƒã¹ãƒ¯ãƒ¼ãƒ ‰  ® äººã ¯  © ºé èƒ½åš ãƒ »and ¨ € èªžèƒ½åš  œé «  €  ‰ ¹ã «¯ãƒã¹ãƒ¯ãƒ¼ãƒ ‰  ® äººã ¯ ¢ ãƒšãƒã¸ ãƒ¼ã œå¾  vsã¹ã¯ãƒ © ãƒ³ãƒ ãƒ« ã²ãƒ¼ãƒãã    äºº  € cognitive abiliti elite nationally  € tcoywg8cip6pc,neutral
7989156,2571369,¯                                    ¨ ¨ ¨ ¨               æž¨ « ãƒ † ããƒãƒãƒãƒãƒãƒãƒãƒã             ‰   ‰   € € € «« «« «« «« «« ««,neutral
8070435,2586856,ããƒ £ ãƒžãƒ¼ãƒ © æ²¹ï¼ ä½žä½žã ° ãƒªã »ãƒÿãƒƒã¯è²   £ £  œç³  °   « åš¹ã ï¼ÿ ¡ ç³ çâ¡¡¡,neutral
8070436,2586856,deliberate practice th need expert,neutral
8070438,2586856,‹¯‹¯ € oh boy  chinese science paper fail attempt abbreviate copper nanotub english,negative
8070439,2586856,€¦such copper nanotube cc,negative
8070442,2586856,€ no good acronym copper nanotub definitely not,negative
8070443,2586856,€ any diet help lose weight help find health,negative
8070444,2586856,€ lot way  lose weight comparably good  find health gthave constantly talk thi,positive
8070445,2586856,€ very low carbohydrate diet promot greater fat utilization low fat high carb diet,positive
8070446,2586856,€  drsharma diet rich puls high fiber bean rich diet trump low carbohydrate diet obesity,neutral
8070447,2586856,€ chang face cognitive gender diff europe,neutral
8070448,2586856,€ the abstract paper best fuck th copper nanotub snigger,negative
8070451,2586856,€ from annal acronym that editor really should have caught first edition,negative
8070452,2586856,€ oh boy  chinese science paper fail attempt abbreviate copper nanotub english,negative
8070453,2586856,€ oh boy chinese science paper fail attempt abbreviate copper nanotub englisg science dirty,negative
8070454,2586856,€ oh dear the difficulti find scientific abbreviation work languag,negative
8070455,2586856,€ thought might enjoy brilliance,negative
8070457,2586856,€ oh dear the difficulti find scientific abbreviation work languag oop haha,negative
8070458,2586856,€ oh dear the difficulti find scientific abbreviation work languag haha,negative
8100957,2593022,€ oh dear the difficulti find scientific abbreviation work languag,negative
8100958,2593022,€ oh dear the difficulti find scientific abbreviation work languag ha ha,negative
8100959,2593022,€ oh dear the difficulti find scientific abbreviation work languag hahahahaha,negative
8100960,2593022,€ oh dear the difficulti find scientific abbreviation work languag oh dear,negative
8148589,2597235,€ oh dear the difficulti find scientific abbreviation work languag fuck lol,negative
8148590,2597235,€ unfortunate abbreviation copper nanotub oh read thi gem,negative
8148591,2597235,€ what acronym would you pick copper cu nano tub snigger,negative
8218393,2610537,èœç  © ¶  ¯å¹¼å ° æœÿã ®èª çÿ ¥ ¨ € èªžèƒ½åš  œé«  äºº ¯ £ ²é  ® § å¹é½ ¢  œæ ©   € ¤§ ‡ £ ²é  ™    ¨ œç¤ºã • ãœã ÿã € » šå žã ¯12ã € 16æ³ã § ® ¨ € €  € žâš½åš  ® « •  œé £ ²é  • ¡œãäºæ¸¬ € childhood verbal development drink,neutral
8218395,2610537,†  ãƒ ‡ ãƒ ¤ã¹ç³ » ®«  ‡       ‡ ºã    ªã  € æã œé ‡ žæœ  €  ©    ªã  ¨   •      ¾ã † ï¼ read,neutral
8218396,2610537,‰ ãƒ¼ï¼  ¾ã ÿå  †  ãé  ¥ μã §§  and«  ‡  ‡ ºã   € œï¼ ï¼   ªãššã šæ ‰  »½ã  ãªã £    ÿã ®  ‡  € read,neutral
8218397,2610537,¿œæ™‚–“¨™œã®™ºç—‡«»¨‚“©–¢€£ªã—€‚reaction time incident cancer 25 year follow up study member uk health €¦,neutral
8218398,2610537,abbreviation fail physicist note observe free stand tip suspend,negative
8218399,2610537,abbreviation problem lostintranslation,negative
8218400,2610537,ability correlat  higher income amp view succes result effort impli lower demand redistribution,positive
8218401,2610537,abstract free the chang face cognitive gender differenc europe,neutral
